type, value
MULTI_LINE_COMMENT, /*
OPERATOR, *
IDENTIFIER, Implementation
IDENTIFIER, of
IDENTIFIER, the
IDENTIFIER, given
IDENTIFIER, Vector
IDENTIFIER, Interface
OPERATOR, *
OPERATOR, *
OPERATOR, *
OPERATOR, @
IDENTIFIER, author
IDENTIFIER, Steve
IDENTIFIER, Mastrokalos
LITERAL, 7276900
COMMENT_END, */
KEYWORD, import
IDENTIFIER, java
PUNCTUATION, .
IDENTIFIER, util
PUNCTUATION, .
IDENTIFIER, Arrays
PUNCTUATION, ;
KEYWORD, import
IDENTIFIER, java
PUNCTUATION, .
IDENTIFIER, util
PUNCTUATION, .
IDENTIFIER, Objects
PUNCTUATION, ;
KEYWORD, public
KEYWORD, class
IDENTIFIER, VectorImp
KEYWORD, implements
IDENTIFIER, Vector
PUNCTUATION, {
KEYWORD, private
KEYWORD, double
PUNCTUATION, [
PUNCTUATION, ]
IDENTIFIER, vector
PUNCTUATION, ;
MULTI_LINE_COMMENT, /*
OPERATOR, *
IDENTIFIER, Creates
IDENTIFIER, an
IDENTIFIER, empty
IDENTIFIER, vector
OPERATOR, *
COMMENT_END, */
IDENTIFIER, VectorImp
PUNCTUATION, (
PUNCTUATION, )
PUNCTUATION, {
IDENTIFIER, vector
OPERATOR, =
KEYWORD, new
KEYWORD, double
PUNCTUATION, [
LITERAL, 0
PUNCTUATION, ]
PUNCTUATION, ;
PUNCTUATION, }
MULTI_LINE_COMMENT, /*
OPERATOR, *
IDENTIFIER, creates
IDENTIFIER, a
IDENTIFIER, vector
IDENTIFIER, of
IDENTIFIER, size
IDENTIFIER, size
OPERATOR, *
IDENTIFIER, with
IDENTIFIER, elements
IDENTIFIER, initialized
IDENTIFIER, to
IDENTIFIER, D
OPERATOR, *
OPERATOR, @
IDENTIFIER, param
IDENTIFIER, size
IDENTIFIER, Size
IDENTIFIER, of
IDENTIFIER, Vector
OPERATOR, *
OPERATOR, @
IDENTIFIER, param
IDENTIFIER, D
IDENTIFIER, Value
IDENTIFIER, to
IDENTIFIER, initialize
IDENTIFIER, elements
IDENTIFIER, to
COMMENT_END, */
IDENTIFIER, VectorImp
PUNCTUATION, (
KEYWORD, int
IDENTIFIER, size
PUNCTUATION, ,
KEYWORD, double
IDENTIFIER, D
PUNCTUATION, )
PUNCTUATION, {
KEYWORD, if
PUNCTUATION, (
IDENTIFIER, size
OPERATOR, <
LITERAL, 0
PUNCTUATION, )
PUNCTUATION, {
KEYWORD, throw
KEYWORD, new
IDENTIFIER, IllegalArgumentException
PUNCTUATION, (
PUNCTUATION, "
LITERAL, Vector Size Must Be a Positive Integer
PUNCTUATION, "
PUNCTUATION, )
PUNCTUATION, ;
PUNCTUATION, }
IDENTIFIER, vector
OPERATOR, =
KEYWORD, new
KEYWORD, double
PUNCTUATION, [
IDENTIFIER, size
PUNCTUATION, ]
PUNCTUATION, ;
KEYWORD, for
PUNCTUATION, (
KEYWORD, int
IDENTIFIER, i
OPERATOR, =
LITERAL, 0
PUNCTUATION, ;
IDENTIFIER, i
OPERATOR, <
IDENTIFIER, size
PUNCTUATION, ;
IDENTIFIER, i
OPERATOR, +
OPERATOR, +
PUNCTUATION, )
PUNCTUATION, {
IDENTIFIER, vector
PUNCTUATION, [
IDENTIFIER, i
PUNCTUATION, ]
OPERATOR, =
IDENTIFIER, D
PUNCTUATION, ;
PUNCTUATION, }
PUNCTUATION, }
MULTI_LINE_COMMENT, /*
OPERATOR, *
IDENTIFIER, creates
IDENTIFIER, a
IDENTIFIER, vector
IDENTIFIER, initialized
IDENTIFIER, to
IDENTIFIER, array
IDENTIFIER, D
OPERATOR, *
OPERATOR, *
OPERATOR, @
IDENTIFIER, param
IDENTIFIER, D
IDENTIFIER, Array
IDENTIFIER, of
IDENTIFIER, the
IDENTIFIER, vector
COMMENT_END, */
IDENTIFIER, VectorImp
PUNCTUATION, (
KEYWORD, double
PUNCTUATION, [
PUNCTUATION, ]
IDENTIFIER, D
PUNCTUATION, )
PUNCTUATION, {
IDENTIFIER, vector
OPERATOR, =
IDENTIFIER, D
PUNCTUATION, .
IDENTIFIER, clone
PUNCTUATION, (
PUNCTUATION, )
PUNCTUATION, ;
PUNCTUATION, }
MULTI_LINE_COMMENT, /*
OPERATOR, *
IDENTIFIER, Creates
IDENTIFIER, a
IDENTIFIER, vector
IDENTIFIER, initialized
IDENTIFIER, to
IDENTIFIER, array
IDENTIFIER, I
OPERATOR, *
OPERATOR, *
OPERATOR, @
IDENTIFIER, param
IDENTIFIER, I
IDENTIFIER, array
IDENTIFIER, to
IDENTIFIER, initialize
IDENTIFIER, the
IDENTIFIER, vector
IDENTIFIER, to
COMMENT_END, */
IDENTIFIER, VectorImp
PUNCTUATION, (
KEYWORD, int
PUNCTUATION, [
PUNCTUATION, ]
IDENTIFIER, I
PUNCTUATION, )
PUNCTUATION, {
IDENTIFIER, vector
OPERATOR, =
KEYWORD, new
KEYWORD, double
PUNCTUATION, [
IDENTIFIER, I
PUNCTUATION, .
IDENTIFIER, length
PUNCTUATION, ]
PUNCTUATION, ;
KEYWORD, for
PUNCTUATION, (
KEYWORD, int
IDENTIFIER, i
OPERATOR, =
LITERAL, 0
PUNCTUATION, ;
IDENTIFIER, i
OPERATOR, <
